no.      longtitude  latitude   distance  l-width  r-width  l-height  r-height  l-minmax-slope  r-minmax-slope  l-max-slope  r-max-slope  l-area  r-area
  4_20    -43.78732  28.21257    14.911    2850      3450     1164       732        22.2            12.0           44.9          22.4      1.2190     1.2036
  4_21    -43.78732  28.21257    14.911    2850      3300     1130       701        21.6            12.0           41.5          20.4      1.1545     1.2028
  4_22    -43.78732  28.21257    14.911    1950      3150     1040       685        28.1            12.3           41.0          26.3      1.0336     1.0480
  4_23    -43.78732  28.21257    14.911    1950      3300     1072       714        28.8            12.2           42.3          26.9      0.9979     1.0564
  4_24    -43.78732  28.21257    14.911    2250      3300     1107       744        26.2            12.7           42.6          30.1      1.0072     1.0781
  4_25    -43.78732  28.21257    14.911    2100      3300     1127       753        28.2            12.9           44.2          26.2      1.0036     1.0613
  4_26    -43.78732  28.21257    14.911    2100      3300     1140       762        28.5            13.0           44.4          29.9      1.0178     1.0708
  4_27    -43.78732  28.21257    14.911    2100      3150     1138       765        28.5            13.7           44.8          33.2      0.9913     1.0413
  4_28    -43.78732  28.21257    14.911    2100      3150     1096       744        27.6            13.3           40.1          34.4      0.9513     1.0275
  4_29    -43.78732  28.21257    14.911    2100      3150     1033       729        26.2            13.0           37.9          32.8      0.8477     1.0628
  4_30    -43.78732  28.21257    14.911    2100      3150     1039       771        26.3            13.8           43.1          33.7      0.7618     1.0817
  4_31    -43.78732  28.21257    14.911    1650      3300      976       758        30.6            12.9           44.7          29.0      0.6695     1.0959
  4_32    -43.78732  28.21257    14.911    1500      3300      984       743        33.3            12.7           40.6          25.5      0.6821     1.0348
  4_33    -43.78732  28.21257    14.911    1500      2700      971       667        32.9            13.9           46.6          21.6      0.7073     0.8711
  4_34    -43.78732  28.21257    14.911    1500      2700      961       641        32.6            13.4           47.1          25.8      0.7030     0.8361
  4_35    -43.78732  28.21257    14.911    1650      3150      929       641        29.4            11.5           45.8          27.7      0.6647     0.9309
  4_36    -43.78732  28.21257    14.911    1350      3150      833       601        31.7            10.8           41.7          31.8      0.5661     0.9636
  4_37    -43.78732  28.21257    14.911    1350      3150      758       538        29.3             9.7           47.5          29.2      0.4869     0.8949
  4_38    -43.78732  28.21257    14.911    1200      3300      714       511        30.7             8.8           44.4          26.4      0.4236     0.9073
  4_39    -43.78732  28.21257    14.911    1650      2850      708       520        23.2            10.3           43.9          22.3      0.6980     0.7791
  4_40    -43.78732  28.21257    14.911    1650      2850      696       519        22.9            10.3           52.0          22.8      0.6451     0.8367
  4_41    -43.78732  28.21257    14.911    2700      2850      895       497        18.3             9.9           40.7          24.6      1.0663     0.8118
  4_42    -43.78732  28.21257    14.911    2550      2850      880       477        19.0             9.5           51.2          25.9      1.0164     0.7886
  4_43    -43.78732  28.21257    14.911    2550      2850      844       462        18.3             9.2           51.3          31.5      0.9132     0.7397
  4_44    -43.78732  28.21257    14.911    2100      2850      731       399        19.2             8.0           48.0          23.9      0.7208     0.6191
